Last_name,Name,Gender,Date_birth,Position,City,Address,Phone,Email
Вертипорох,Аарон,Male,1977-01-14,Випробувач,місто Почаїв,"шосе Софіївська, буд. 5, Лебедин, 54059",307-29-03,zhuchenkovolodymyr@example.org
Корсун,Михайлина,Female,1956-02-01,Дантист,селище Жданівка,"вулиця Анатолія Бачинського, буд. 745 кв. 51, Барвінкове, 03598",870 31 78,abrahamovskasnizhana@example.net
Гаврилець,Сніжана,Female,1975-12-18,Літературознавець,хутір Верхньодніпровськ,"узвіз Крутоярська, буд. 196 кв. 71, Дунаївці, 77949",+380 35 093 55 47,banderademyd@example.com
Скирда,Орина,Female,2002-11-14,Графік,місто Кальміуське,"проспект Маршрутна, буд. 4 кв. 2, Кобеляки, 45941",+380 16 132-52-22,prokhirnikoliuk@example.com
Тимченко,Надія,Female,2004-02-04,Паблік рилейшнз,місто Волноваха,"вулиця Балтський 2-й, буд. 85, Старий Самбір, 66881",880-91-48,emiliiadankiv@example.com
Твердохліб,Єлисавета,Female,1998-10-23,Продюсер,село Надвірна,"шосе Ламаний, буд. 99 кв. 234, Маріуполь, 86963",454 76 34,lriabets@example.org
Мірошниченко,Зиновій,Male,1991-01-10,Юрист,село Лохвиця,"набережна Пейзажна, буд. 77 кв. 6, Шахтарськ, 95805",504-99-73,zhaivoronanton@example.net
Рябець,Клавдія,Female,2005-05-25,Продюсер,місто Канів,"проспект Миколи Бурачека, буд. 5, Долинська, 79715",662 32 52,hlibusyk@example.com
Гаврилишина,Лілія,Female,1945-10-29,Гірник,селище Новий Розділ,"шосе Садиковська, буд. 988 кв. 79, Федорівка, 22134",070 464-54-11,anita63@example.com
Саченко,Захар,Male,1989-03-02,Геолог,село Вишгород,"сквер Марка Твена, буд. 2 кв. 9, Роздільна, 86780",+380 84 649 90 59,anita72@example.net
Адамчук,Ярослав,Male,1981-04-05,Математик,село Федорівка,"провулок Балківська, буд. 941 кв. 5, Любомль, 40380",+380 58 806-74-15,lizahavriushenko@example.net
Прокопович,Гордій,Male,1999-04-27,Кінорежисер,місто Ялта,"вулиця Мерло, буд. 2 кв. 046, Знам'янка, 22460",+380 20 104-39-72,eskyrda@example.net
Панчук,Амвросій,Male,1961-04-15,Кінорежисер,селище Городенка,"проспект Мукачівський, буд. 7 кв. 890, Дебальцеве, 64370",012 005-19-81,halynadankevych@example.org
Арсенич,Данило,Male,1988-12-02,Мікробіолог,хутір Чоп,"сквер Косий, буд. 012, Козятин, 34263",+380 (14) 911-05-14,khomaiaremko@example.com
Ємельяненко,Маруся,Female,1989-04-20,Музичний редактор,хутір Надвірна,"сквер Наявний 5-й, буд. 64, Запоріжжя, 61084",+380 13 080 62 83,iarematsymbal@example.org
Бандера,Ігнат,Male,1940-11-10,Слідчий,місто Тернопіль,"шосе Кладовищний, буд. 9, Мелітополь, 62980",+380 (33) 324-01-31,veniiamyniefymenko@example.org
Лисенко,Надія,Female,1986-05-03,Секретар,село Кролевець,"проспект Палія Семена, буд. 926 кв. 173, Полонне, 92946",036 099 94 01,iustymchala@example.org
Чуйко,Климент,Male,1983-01-20,Епідеміолог,хутір Гірник,"сквер Покровський, буд. 201 кв. 87, Зугрес, 47832",+380 20 657-09-32,neporozhniifrants@example.com
Хоменко,Богдан,Male,1993-11-06,Психолог,місто Решетилівка,"шосе Отрадна, буд. 69, Вуглегірськ, 70677",+380 06 479 13 36,dmytro46@example.org
